customer_id,card_id,card_type,credit_limit,credit_card_balance,minimum_payment_due,payment_due_date,last_credit_card_payment_date,rewards_points
1,1,visa,1737.88,4524.32,226.22,2023-11-26,2023-03-20,8142
2,2,mastercard,1799.36,856.7,42.84,2023-11-05,2023-06-16,4306
3,3,amex,6112.96,3242.36,162.12,2023-01-08,2023-03-20,4842
4,4,mastercard,2069.41,4329.17,216.46,2023-09-08,2023-10-15,9463
5,5,visa,2765.3,25.72,1.29,2023-03-04,2023-07-27,2209
6,6,amex,8029.18,1331.7,66.59,2023-05-13,2023-11-16,478
7,7,mastercard,2996.82,1441.65,72.08,2023-03-16,2023-10-09,5745
8,8,amex,4470.78,3450.21,172.51,2023-07-23,2023-07-18,5559
9,9,amex,4349.57,3227.18,161.36,2023-11-28,2023-09-25,4432
10,10,visa,4961.44,2765.38,138.27,2023-11-15,2023-01-07,8226
11,11,visa,4782.39,4564.25,228.21,2023-06-07,2023-03-03,4624
12,12,amex,5697.31,4935.07,246.75,2023-11-17,2023-12-28,3488
13,13,visa,5776.68,339.59,16.98,2023-07-17,2023-01-13,2102
14,14,visa,3018.46,4357.95,217.9,2023-05-28,2023-09-29,4833
15,15,amex,2345.93,1066.61,53.33,2023-12-28,2023-05-23,4769
16,16,visa,2673.1,770.74,38.54,2023-02-02,2023-01-03,7000
17,17,amex,2838.82,3905.1,195.26,2023-04-20,2023-10-19,2437
18,18,visa,8388.99,3165.21,158.26,2023-08-10,2023-11-12,5109
19,19,amex,9371.27,299.03,14.95,2023-05-12,2023-09-10,8681
20,20,mastercard,7650.68,1076.46,53.82,2023-05-24,2023-01-21,3441
21,21,mastercard,1374.25,3559.98,178.0,2023-01-31,2023-08-31,1213
22,22,visa,6394.78,53.5,2.68,2023-09-23,2023-12-05,4035
23,23,visa,8026.74,1424.94,71.25,2023-11-17,2023-03-17,1533
24,24,amex,5693.7,2256.35,112.82,2023-05-07,2023-06-03,6245
25,25,amex,1720.05,4563.01,228.15,2023-05-29,2023-11-18,6588
26,26,visa,5608.25,4251.87,212.59,2023-06-05,2023-11-08,5749
27,27,amex,6736.21,1084.56,54.23,2023-01-21,2023-07-04,1470
28,28,amex,6126.15,1530.42,76.52,2023-11-16,2023-07-31,2965
29,29,amex,7494.66,2591.92,129.6,2023-09-20,2023-06-06,2963
30,30,visa,3404.77,2181.1,109.06,2023-02-18,2023-12-14,8656
31,31,amex,7278.03,3846.45,192.32,2023-05-27,2023-06-11,3298
32,32,visa,3997.31,4756.24,237.81,2023-01-03,2023-02-27,6208
