customer_id,first_name,last_name,age,gender,address,city,contact_number,email
1,joshua,hall,45,male,address_1,fort worth,19458794854,joshua.hall@kag.com
2,mark,taylor,47,female,address_2,louisville,19458794855,mark.taylor@kag.com
3,joseph,flores,25,female,address_3,philadelphia,19458794856,joseph.flores@kag.com
4,kevin,lee,52,other,address_4,oklahoma city,19458794857,kevin.lee@kag.com
5,linda,johnson,68,other,address_5,phoenix,19458794858,linda.johnson@kag.com
6,charles,torres,52,male,address_6,el paso,19458794859,charles.torres@kag.com
7,joshua,garcia,43,male,address_7,unknown,19458794860,joshua.garcia@kag.com
8,christopher,baker,47,male,address_8,memphis,19458794861,christopher.baker@kag.com
9,daniel,moore,52,male,address_9,indianapolis,19458794862,daniel.moore@kag.com
10,william,robinson,55,other,address_10,unknown,19458794863,william.robinson@kag.com
11,william,perez,28,male,address_11,san diego,19458794864,william.perez@kag.com
12,nancy,allen,37,female,address_12,oklahoma city,19458794865,nancy.allen@kag.com
13,margaret,robinson,63,female,address_13,columbus,19458794866,margaret.robinson@kag.com
14,michelle,taylor,48,female,address_14,colorado springs,19458794867,michelle.taylor@kag.com
15,nancy,nelson,51,other,address_15,atlanta,19458794868,nancy.nelson@kag.com
16,michael,young,29,male,address_16,fresno,19458794869,michael.young@kag.com
17,lisa,adams,65,female,address_17,austin,19458794870,lisa.adams@kag.com
18,mary,wilson,45,female,address_18,unknown,19458794871,mary.wilson@kag.com
19,nancy,martinez,20,other,address_19,tucson,19458794872,nancy.martinez@kag.com
20,amanda,campbell,65,other,address_20,milwaukee,19458794873,amanda.campbell@kag.com
21,ashley,scott,59,other,address_21,unknown,19458794874,ashley.scott@kag.com
22,donna,king,69,female,address_22,san antonio,19458794875,donna.king@kag.com
23,mary,rodriguez,22,other,address_23,el paso,19458794876,mary.rodriguez@kag.com
24,charles,adams,30,female,address_24,unknown,19458794877,charles.adams@kag.com
25,steven,ramirez,29,male,address_25,unknown,19458794878,steven.ramirez@kag.com
26,barbara,hernandez,18,female,address_26,chicago,19458794879,barbara.hernandez@kag.com
27,lisa,wilson,69,male,address_27,kansas city,19458794880,lisa.wilson@kag.com
28,amanda,hill,60,female,address_28,oklahoma city,19458794881,amanda.hill@kag.com
29,matthew,campbell,36,male,address_29,fresno,19458794882,matthew.campbell@kag.com
30,ronald,jackson,46,female,address_30,baltimore,19458794883,ronald.jackson@kag.com
31,anthony,anderson,64,female,address_31,san francisco,19458794884,anthony.anderson@kag.com
32,carol,ramirez,67,female,address_32,jacksonville,19458794885,carol.ramirez@kag.com
33,betty,white,65,female,address_33,sacramento,19458794886,betty.white@kag.com
34,jessica,davis,56,other,address_34,unknown,19458794887,jessica.davis@kag.com
35,joseph,nelson,59,female,address_35,seattle,19458794888,joseph.nelson@kag.com
36,timothy,rodriguez,42,female,unknown,portland,19458794889,timothy.rodriguez@kag.com
37,amanda,campbell,33,other,address_37,mesa,19458794890,amanda.campbell@kag.com
38,michael,allen,34,other,address_38,el paso,19458794891,michael.allen@kag.com
39,paul,allen,45,other,address_39,albuquerque,19458794892,paul.allen@kag.com
40,john,jackson,56,other,address_40,jacksonville,19458794893,john.jackson@kag.com
41,charles,williams,60,other,address_41,austin,19458794894,charles.williams@kag.com
42,david,martinez,66,other,address_42,kansas city,19458794895,david.martinez@kag.com
43,joshua,flores,22,other,address_43,philadelphia,19458794896,joshua.flores@kag.com
44,karen,campbell,18,other,address_44,fresno,19458794897,karen.campbell@kag.com
45,patricia,adams,20,other,address_45,mesa,19458794898,patricia.adams@kag.com
46,matthew,smith,65,other,unknown,atlanta,19458794899,matthew.smith@kag.com
47,susan,lewis,41,other,address_47,san francisco,19458794900,susan.lewis@kag.com
48,stephanie,roberts,46,male,address_48,omaha,19458794901,stephanie.roberts@kag.com
49,david,king,32,female,address_49,omaha,19458794902,david.king@kag.com
50,sandra,gonzalez,21,female,address_50,fort worth,19458794903,sandra.gonzalez@kag.com
51,mary,smith,61,other,address_51,nashville,19458794904,mary.smith@kag.com
52,sarah,king,18,other,address_52,omaha,19458794905,sarah.king@kag.com
53,betty,lewis,66,male,address_53,denver,19458794906,betty.lewis@kag.com
54,timothy,mitchell,32,other,address_54,chicago,19458794907,timothy.mitchell@kag.com
55,john,campbell,41,male,address_55,seattle,19458794908,john.campbell@kag.com
56,amanda,gonzalez,69,female,address_56,denver,19458794909,amanda.gonzalez@kag.com
57,linda,mitchell,48,female,address_57,philadelphia,19458794910,linda.mitchell@kag.com
58,timothy,carter,37,other,address_58,unknown,19458794911,timothy.carter@kag.com
59,andrew,lewis,27,male,address_59,san diego,19458794912,andrew.lewis@kag.com
60,susan,hill,28,male,address_60,seattle,19458794913,susan.hill@kag.com
61,thomas,white,35,female,address_61,colorado springs,19458794914,thomas.white@kag.com
62,margaret,sanchez,51,female,address_62,fort worth,19458794915,margaret.sanchez@kag.com
63,stephanie,taylor,45,male,address_63,jacksonville,19458794916,stephanie.taylor@kag.com
64,michelle,miller,55,male,address_64,san antonio,19458794917,michelle.miller@kag.com
65,patricia,gonzalez,33,female,address_65,new york,19458794918,patricia.gonzalez@kag.com
66,mary,jones,41,male,address_66,mesa,19458794919,mary.jones@kag.com
67,jennifer,sanchez,56,female,address_67,nashville,19458794920,jennifer.sanchez@kag.com
68,carol,carter,68,male,address_68,atlanta,19458794921,carol.carter@kag.com
69,patricia,williams,29,other,unknown,las vegas,19458794922,patricia.williams@kag.com
70,mark,miller,67,female,address_70,boston,19458794923,mark.miller@kag.com
71,karen,carter,59,male,address_71,san antonio,19458794924,karen.carter@kag.com
72,sandra,hill,24,female,address_72,san francisco,19458794925,sandra.hill@kag.com
73,amanda,smith,53,male,unknown,memphis,19458794926,amanda.smith@kag.com
74,kimberly,carter,34,other,address_74,baltimore,19458794927,kimberly.carter@kag.com
75,elizabeth,taylor,66,other,address_75,san antonio,19458794928,elizabeth.taylor@kag.com
76,margaret,nelson,21,other,address_76,tucson,19458794929,margaret.nelson@kag.com
77,susan,harris,54,female,address_77,san antonio,19458794930,susan.harris@kag.com
78,donald,williams,50,other,address_78,las vegas,19458794931,donald.williams@kag.com
79,deborah,anderson,36,female,address_79,austin,19458794932,deborah.anderson@kag.com
80,joseph,lewis,43,other,address_80,dallas,19458794933,joseph.lewis@kag.com
