customer_id,card_id,card_type,credit_limit,credit_card_balance,minimum_payment_due,payment_due_date,last_credit_card_payment_date,rewards_points
1,1,VISA,1737.88,4524.32,226.22,11/26/2023,3/20/2023,8142
2,2,MasterCard,1799.36,856.7,42.84,11/5/2023,6/16/2023,4306
3,3,AMEX,6112.96,3242.36,162.12,1/8/2023,3/20/2023,4842
4,1234-5678-9012-4,MasterCard,2069.41,4329.17,216.46,9/8/2023,10/15/2023,9463
5,5,Visa,2765.3,25.72,1.29,3/4/2023,7/27/2023,2209
6,6,AMEX,8029.18,1331.7,66.59,5/13/2023,11/16/2023,478
7,7,MasterCard,2996.82,1441.65,72.08,3/16/2023,10/9/2023,5745
8,8,AMEX,4470.78,3450.21,172.51,7/23/2023,7/18/2023,5559
9,9,AMEX,4349.57,3227.18,161.36,11/28/2023,9/25/2023,4432
10,10,Visa,4961.44,2765.38,138.27,11/15/2023,1/7/2023,8226
11,1234-5678-9012-11,Visa,4782.39,4564.25,228.21,6/7/2023,3/3/2023,4624
12,12,AMEX,5697.31,4935.07,246.75,11/17/2023,12/28/2023,3488
13,13,Visa,5776.68,339.59,16.98,7/17/2023,1/13/2023,2102
14,14,Visa,3018.46,4357.95,217.9,5/28/2023,9/29/2023,4833
15,15,AMEX,2345.93,1066.61,53.33,12/28/2023,5/23/2023,4769
16,16,Visa,2673.1,770.74,38.54,2/2/2023,1/3/2023,7000
17,1234-5678-9012-17,AMEX,2838.82,3905.1,195.26,4/20/2023,10/19/2023,2437
18,18,VISA,8388.99,3165.21,158.26,8/10/2023,11/12/2023,5109
19,19,AMEX,9371.27,299.03,14.95,5/12/2023,9/10/2023,8681
20,20,MasterCard,7650.68,1076.46,53.82,5/24/2023,1/21/2023,3441
21,21,MasterCard,1374.25,3559.98,178.0,1/31/2023,8/31/2023,1213
22,22,VISA,6394.78,53.5,2.68,9/23/2023,12/5/2023,4035
23,23,Visa,8026.74,1424.94,71.25,11/17/2023,3/17/2023,1533
24,24,AMEX,5693.7,2256.35,112.82,5/7/2023,6/3/2023,6245
25,25,AMEX,1720.05,4563.01,228.15,5/29/2023,11/18/2023,6588
26,26,VISA,5608.25,4251.87,212.59,6/5/2023,11/8/2023,5749
27,27,AMEX,6736.21,1084.56,54.23,1/21/2023,7/4/2023,1470
28,28,AMEX,6126.15,1530.42,76.52,11/16/2023,7/31/2023,2965
29,29,AMEX,7494.66,2591.92,129.6,9/20/2023,6/6/2023,2963
30,30,Visa,3404.77,2181.1,109.06,2/18/2023,12/14/2023,8656
31,31,AMEX,7278.03,3846.45,192.32,5/27/2023,6/11/2023,3298
32,32,Visa,3997.31,4756.24,237.81,1/3/2023,2/27/2023,6208
33,33,MasterCard,7417.07,3107.77,155.39,3/27/2023,10/22/2023,2387
34,34,Visa,5395.87,560.7,28.04,9/23/2023,5/11/2023,4561
35,35,AMEX,8046.16,2208.16,110.41,7/30/2023,9/4/2023,2971
36,36,Visa,5522.52,2735.81,136.79,5/31/2023,10/18/2023,6543
37,37,MasterCard,3589.1,4775.86,238.79,3/9/2023,3/13/2023,443
